company_id,year,net_profit_margin,operational_profit_margin,returns_on_equity,returns_on_capital_employment,returns_on_assets,debt_to_equity,high_leverage_flag,interest_coverage_ratio,icr_label,icr_warning_flag,net_debt,asset_turn_over
SHREECEM,2023-03,13.270,16.581,12.712,13.857,8.996,0.146,False,13.000,,False,-5958.000,0.678
SHREECEM,2024-03,8.445,22.016,8.371,20.207,6.206,0.080,False,19.826,,False,-5900.000,0.735
SHRIRAMFIN,2013-03,20.873,31.089,19.937,5.351,3.095,4.550,False,0.707,,True,30106.000,0.148
SHRIRAMFIN,2014-03,16.022,23.584,15.958,4.241,2.595,4.539,False,0.473,,True,36195.000,0.162
SHRIRAMFIN,2015-03,11.202,18.427,11.094,3.022,1.654,5.039,False,0.360,,True,43658.000,0.148
SHRIRAMFIN,2016-03,11.430,17.608,11.635,3.042,1.741,4.893,False,0.359,,True,48450.000,0.152
SHRIRAMFIN,2017-03,11.611,18.087,11.172,3.062,1.701,4.684,False,0.378,,True,51562.000,0.146
SHRIRAMFIN,2018-03,18.879,28.181,18.619,3.971,2.618,5.999,False,0.614,,True,79675.000,0.139
SHRIRAMFIN,2019-03,16.581,24.466,16.137,3.659,2.444,5.507,False,0.505,,True,83788.000,0.147
SHRIRAMFIN,2020-03,15.168,21.526,13.846,3.158,2.198,5.222,False,0.431,,True,91799.000,0.145
SHRIRAMFIN,2021-03,14.344,19.527,11.507,2.652,1.924,4.906,False,0.376,,True,103199.000,0.134
SHRIRAMFIN,2022-03,14.131,19.039,10.427,2.601,1.913,4.401,False,0.377,,True,107875.000,0.135
SHRIRAMFIN,2023-03,19.743,28.857,13.835,4.236,2.859,3.774,False,0.679,,True,156772.000,0.145
SHRIRAMFIN,2024-03,20.334,28.919,15.116,4.305,2.980,3.994,False,0.677,,True,186024.000,0.147
SIEMENS,2011-09,7.261,9.795,22.746,30.687,8.545,0.000,False,56.538,,False,0.000,1.177
SIEMENS,2014-09,5.647,1.114,13.783,2.720,5.860,0.000,False,35.613,,False,-8.000,1.038
SIEMENS,2015-09,11.114,9.448,22.943,19.409,11.101,0.005,False,64.700,,False,-89.000,0.999
SIEMENS,2016-09,26.889,9.421,42.834,14.953,24.312,0.004,False,379.727,,False,-85.000,0.904
SIEMENS,2017-09,10.276,9.544,14.785,13.732,8.654,0.000,False,234.250,,False,0.000,0.842
SIEMENS,2018-09,7.042,10.371,10.857,15.990,6.285,0.000,False,200.875,,False,0.000,0.893
SIEMENS,2019-09,8.400,11.388,12.145,16.466,7.156,0.000,False,157.333,,False,0.000,0.852
SIEMENS,2020-09,7.732,10.084,8.102,10.567,4.849,0.000,False,43.933,,False,0.000,0.627
SIEMENS,2021-09,8.251,11.002,10.525,14.028,6.045,0.000,False,73.875,,False,1.000,0.733
